ID,Type,Inorganic.Material,Organic.Material,MAT,Targeting,NM.ID,Shape,Charge,PDI,NM.TEM.Size..nm.,Size,Zeta,Tumor_model,Cancer_type,Tumor.Cell.Line,Admin.Dose..mg.kg.,Admin_frequency,Frequency,Sex,Animal,String,Route,Route_ori,TSz_init,TSz_therapy,TSz_control,Time,Tumor.volume,untreated.volume,TGI,TGI.,TGI_cat,Ref..ID..Author..Year.,Year,New.Ref..No.,BW..g.,Drug.1,Dose.1,Dose_1_total,Drug.2,Dose.2,Dose_2_total,Codelivery,Techen,Dosing.Time,PT,PATC,KTRESrelease,KTRESn,KTRES50,KTRESmax,AUCTumor,DE24,DE168,DEmax
196,Organic,,Polymeric,Polymeric,Passive,fSeP NPs,Spherical,Negative,0.052083333,82.72695874,154.4554455,-22.45,AH,Breast,4T1,15,Multiple,6,Female,mice,BALB/c,iv,iv,75,263.9638935,1007.200438,13,263.9638935,1007.200438,0.737923175,73.7923175,High,"Lu, 2021",2021,34558902,20,PTX,15,90,NA,0,0,Single,No,"0,2,4,6,8,10",1.18148,0.030812005,0.2971846,1.7633601,0.39746857,1.075513,38489.26625,44.78320519,25.0943408,59.87879672
197,Organic,,albumin,Others,Passive,hSeP,Spherical,Negative,0.173913043,124.1988707,153.8461538,-24.18,AH,Breast,4T1,15,Multiple,6,Female,mice,BALB/c,iv,iv,75,534.2151261,1007.200438,13,534.2151261,1007.200438,0.469603958,46.9603958,Low,"Lu, 2021",2021,34558902,20,PTX,15,90,NA,0,0,Single,No,"0,2,4,6,8,10",0.06933997,0.02508864,0.26770034,0.32054245,2.5330908,1.8585931,3403.114834,5.649634206,1.48407723,7.3080675
198,Organic,,Polymeric,Polymeric,Passive,DMP/mIL-22BP,Spherical,Neutral,,,271.13,9.92,AH,Colon,C26,0.5,Multiple,16,Female,mice,BALB/c,ip,ip,50,682.5396825,1825.396825,19,682.5396825,1825.396825,0.626086957,62.6086957,Low,"Li, 2021",2021,34559545,20,mRNA,0.0166,0.2656,NA,0,0,Single,No,"0,2,4,6,8,10,12,14,16,18",0.016038064,0.001630614,0.3034959,1.8297808,8.610519,0.7283631,626.6499782,0.703167748,0.172510285,0.946364958
199,Organic,,Polymeric,Polymeric,Active,RPP@DOC/ICG,Spherical,Neutral,0.193,,125.77,-1.58,AH,Breast,4T1,10,Multiple,4,Female,mice,BALB/c nude,iv,iv,100,125.0965251,294.2084942,9,1.250965251,2.942084942,0.57480315,57.480315,Low,"Ren, 2021",2021,34569890,17.5,DOC,10,40,ICG,NA,NA,Combination,Yes,"0,3,6,9",0.49657434,0.034552626,0.41238138,7.8463793,40.057293,0.7178503,4043.317144,7.089996413,4.32477619,14.9332872
200,Organic,,Polymeric,Polymeric,Active,RPP@DOC/ICG,Spherical,Neutral,0.193,,125.77,-1.58,AH,Breast,4T1,10,Multiple,4,Female,mice,BALB/c nude,iv,iv,100,162.1621622,294.2084942,9,1.621621622,2.942084942,0.448818898,44.8818898,Low,"Ren, 2021",2021,34569890,17.5,DOC,10,40,ICG,NA,NA,Combination,No,"0,3,6,9",0.49657434,0.034552626,0.41238138,7.8463793,40.057293,0.7178503,4043.317144,7.089996413,4.32477619,14.9332872
202,Organic,,Polymeric,Polymeric,Passive,CIPP,Spherical,Neutral,0.193,,171.8,-5.4,AH,Skin,B16F10,CLT: 2; ICG: 4,Once,1,Female,mice,C57BL/6,iv,iv,150,21.65923559,1623.393985,8,21.65923559,1623.393985,0.986658054,98.6658054,High,"Li, 2021",2021,34579526,20,CLT,2,2,ICG,4,4,Combination,Yes,0,0.034940448,0.002899973,1.0036268,2.184898,19.302132,0.8375535,169.6155755,0.74995037,0.009322286,0.755092398
203,Organic,,Polymeric,Polymeric,Passive,CIPP,Spherical,Neutral,0.193,,171.8,-5.4,AH,Skin,B16F10,CLT: 2; ICG: 4,Once,1,Female,mice,C57BL/6,iv,iv,150,766.679699,1623.393985,8,766.679699,1623.393985,0.527730356,52.7730356,Low,"Li, 2021",2021,34579526,20,CLT,2,2,ICG,4,4,Combination,No,0,0.034940448,0.002899973,1.0036268,2.184898,19.302132,0.8375535,169.6155755,0.74995037,0.009322286,0.755092398
204,Organic,,Polymeric,Polymeric,Passive,CPP,Spherical,Neutral,0.177,,156.3,-6.7,AH,Skin,B16F10,2,Once,1,Female,mice,C57BL/6,iv,iv,150,729.3797325,1623.393985,8,729.3797325,1623.393985,0.55070689,55.070689,Low,"Li, 2021",2021,34579526,20,CLT,2,2,NA,0,0,Single,No,0,0.03454048,0.002961766,1.0077362,2.175294,19.325684,0.8379556,165.4387971,0.746526004,0.009191747,0.748525447
205,Organic,,Polymeric,Polymeric,Passive,IPP,Spherical,Neutral,0.126,,165.5,-7.8,AH,Skin,B16F10,4,Once,1,Female,mice,C57BL/6,iv,iv,150,108.5722791,1623.393985,8,108.5722791,1623.393985,0.933120191,93.3120191,High,"Li, 2021",2021,34579526,20,ICG,4,4,NA,0,0,Single,Yes,0,0.034391057,0.002982057,1.0135615,2.1833332,19.391903,0.8383548,165.5739775,0.738927891,0.00914331,0.742190727
206,Organic,,Polymeric,Polymeric,Active,FA-CSOSA/DOX,Spherical,Positive,0.15,,70.96,21.2,AO,Breast,4T1,1.5,Multiple,6,Female,mice,BALB/c,iv,iv,100,439.9390458,1327.169148,20,439.9390458,1327.169148,0.668513206,66.8513206,High,"Liu, 2021",2021,34579532,20,DOX,1.5,9,NA,0,0,Single,No,"0,2,4,6,8,10",0.26143417,0.03972052,0.6923009,0.3996053,13.583905,0.8370099,4178.770625,6.175243284,1.270311039,9.561037204
207,Organic,,Polymeric,Polymeric,Active,FA-CSOSA/ATRA,Spherical,Positive,0.209,,73.34,25.4,AO,Breast,4T1,1.5,Multiple,6,Female,mice,BALB/c,iv,iv,100,562.00211,1327.169148,20,562.00211,1327.169148,0.576540706,57.6540706,Low,"Liu, 2021",2021,34579532,20,ATRA,1.5,9,NA,0,0,Single,No,"0,2,4,6,8,10",0.2621564,0.039001577,0.69117063,0.38144463,13.666007,0.8311343,4179.976384,6.178986566,1.26243019,9.607704882
211,Organic,,protein,Others,Active,GC-NP(GALA/CREKA-PEG-SS-PEI/siEGFR-BRD4),Spherical,Neutral,0.174,,79.45,8.16,XH,Breast,MDA-MB-231,6.65,Multiple,18,Female,mice,BALB/c nude,iv,iv,150,522.6619013,1324.977662,18,522.6619013,1324.977662,0.605531538,60.5531538,Low,"Wan, 2021",2021,34591491,20,siRNA,6.65,119.7,NA,0,0,Single,No,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.020030668,0.009179145,0.5258535,3.7232094,1.9124576,0.7574013,964.2523158,0.745203724,0.151757771,1.575278386
212,Organic,,Polymeric,Polymeric,Passive,NP (mPEG-SS-PEI/siEGFR-BRD4 ),Spherical,Neutral,0.198,,80.66,7.94,XH,Breast,MDA-MB-231,6.65,Multiple,18,Female,mice,BALB/c nude,iv,iv,150,1136.607875,1324.977662,18,1136.607875,1324.977662,0.142168274,14.2168274,Low,"Wan, 2021",2021,34591491,20,siRNA,6.65,119.7,NA,0,0,Single,No,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.19531524,0.024493424,0.41966155,2.1146176,3.069576,1.3925622,16117.40783,11.38908909,3.531938339,22.41182049
213,Organic,,protein,Others,Active,C-NP (CREKA-PEG-SS-PEI/ siEGFR-BRD4),Spherical,Neutral,0.171,,70.35,7.69,XH,Breast,MDA-MB-231,6.65,Multiple,18,Female,mice,BALB/c nude,iv,iv,150,738.9383239,1324.977662,18,738.9383239,1324.977662,0.442301297,44.2301297,Low,"Wan, 2021",2021,34591491,20,siRNA,6.65,119.7,NA,0,0,Single,No,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.019952346,0.009195479,0.5238422,3.7127924,1.9133658,0.75801474,963.4653181,0.744867833,0.151642399,1.574430749
214,Organic,,protein,Others,Active,G-NP (GALA-PEG-SS-PEI/siEGFR-BRD4),Spherical,Neutral,0.188,,76.22,8.02,XH,Breast,MDA-MB-231,6.65,Multiple,18,Female,mice,BALB/c nude,iv,iv,150,857.5415234,1324.977662,18,857.5415234,1324.977662,0.352787939,35.2787939,Low,"Wan, 2021",2021,34591491,20,siRNA,6.65,119.7,NA,0,0,Single,No,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",0.020006482,0.009184557,0.52515155,3.7189212,1.9128733,0.7575999,964.2200377,0.745003338,0.151736389,1.574685677
215,Organic,,Polymeric,Polymeric,Active,Gal-Gly-CS-DCA,Spherical,Positive,0.164,,156.53,30.2,XH,Liver,H22,5,Multiple,4,Male,mice,BALB/c,iv,iv,125,582.278481,1772.151899,11,582.278481,1772.151899,0.671428571,67.1428571,High,"Sun, 2021",2021,34595970,20,DOX,5,20,NA,0,0,Single,No,"0,3,6,9",0.037276138,0.012597225,0.7147886,1.0921717,0.26187348,1.4882994,692.7741739,1.726449059,0.254249483,2.059923053
216,Organic,,Polymeric,Polymeric,Passive,Gly-CS-DCA,Spherical,Positive,0.139,,165.07,40,XH,Liver,H22,5,Multiple,4,Male,mice,BALB/c,iv,iv,125,873.4177215,1772.151899,11,873.4177215,1772.151899,0.507142857,50.7142857,Low,"Sun, 2021",2021,34595970,20,DOX,5,20,NA,0,0,Single,No,"0,3,6,9",0.043163005,0.010974663,0.36288723,2.295249,0.24539496,5.3857536,4022.642962,9.76127667,2.445544286,10.18346415
217,Organic,,Polymeric,Polymeric,Passive,Gly-CS-VE,Spherical,Positive,0.156,,198.57,52.77,XH,Liver,H22,5,Multiple,4,Male,mice,BALB/c,iv,iv,125,1088.607595,1772.151899,11,1088.607595,1772.151899,0.385714286,38.5714286,Low,"Sun, 2021",2021,34595970,20,DOX,5,20,NA,0,0,Single,No,"0,3,6,9",0.046202525,0.011129531,0.39735413,2.2772782,0.2472006,5.404841,3978.198837,9.647632867,2.360454749,10.13652101
218,Organic,,Polymeric,Polymeric,Active,Gal-Gly-CS-VE,Spherical,Positive,0.196,,165.1,22.57,XH,Liver,H22,5,Multiple,4,Male,mice,BALB/c,iv,iv,125,679.4871795,1772.151899,11,679.4871795,1772.151899,0.616575092,61.6575092,Low,"Sun, 2021",2021,34595970,20,DOX,5,20,NA,0,0,Single,No,"0,3,6,9",0.036249373,0.01285634,0.7176391,1.1391523,0.25383368,1.5208383,678.1080568,1.700135624,0.24980913,2.038104461
219,Organic,,Polymeric,Polymeric,Passive,SORA-CRIZ@NP,Spherical,Negative,0.157,,30.25,-18.25,AH,Breast,4T1,SORA: 10; CRIZ: 5,Multiple,5,Female,mice,Nude,iv,iv,65,353.9325843,2452.247191,18,353.9325843,2452.247191,0.855670103,85.5670103,High,"Zhong, 2021",2021,34607478,25,SORA,10,50,CRIZ,5,25,Combination,No,"0,2,4,6,8",1.1730267,0.030924847,0.2875636,1.4184842,0.39452434,1.0775373,47361.79849,45.11358893,25.6541697,60.32463385
220,Hybrid,iron,liposome,Hybrid,Active,GA/Fe3O4-PTX-LP,Spherical,Negative,0.234,,148.9,-23.2,XH,Liver,HepG2,1,Multiple,15,Male,mice,BALB/c,iv,iv,150,214.2857143,1483.516484,30,214.2857143,1483.516484,0.855555556,85.5555556,High,"Zhao, 2021",2021,34620053,NA,PTX,1,15,NA,0,0,Single,No,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28",0.041721057,0.05259244,0.5483689,0.25328013,9.13442,0.7165514,1499.318132,1.079405147,0.181959999,1.640001619
224,Inorganic,Silica,polymer,Silica,Active,Apt-PEG-Au-NPs@DOX,Spherical,Negative,,,58.22,-19.79,XH,Colon,HT-29,1,Multiple,4,Female,mice,C57BL/6,iv,iv,125,695.5445545,1000,13,695.5445545,1000,0.304455446,30.4455446,Low,"Iranpour, 2021",2021,34641857,20,DOX,1,4,NA,0,0,Single,No,"0,2,5,8",0.15069576,0.030409737,1.0620384,0.41727906,11.203129,0.7029241,1372.245553,3.045688683,0.156531541,4.965084566
225,Inorganic,Silica,polymer,Silica,Active,PEG-Au-NPs@DOX,Spherical,Negative,,,50.28,-18.5,XH,Colon,HT-29,1,Multiple,4,Female,mice,C57BL/6,iv,iv,125,792.0792079,1000,13,792.0792079,1000,0.207920792,20.7920792,Low,"Iranpour, 2021",2021,34641857,20,DOX,1,4,NA,0,0,Single,No,"0,2,5,8",0.1512874,0.03008857,1.0553694,0.41427997,11.014344,0.70292985,1380.193301,3.064573879,0.157532476,4.983801644
227,Hybrid,Ca,Polymer,Hybrid,Active,DOX@BHNP,Spherical,Negative,0.16,,209,-13.7,AH,Breast,4T1,6,Multiple,7,Female,mice,BALB/c,iv,iv,80,192.7789046,11.61054767,17,2.409736308,11.61054767,0.79245283,79.245283,High,"Qiao, 2021",2021,34668829,21,DOX,6,42,NA,0,0,Single,No,"0,2,4,6,8,10,12",0.23058449,0.07306097,0.31491905,1.5960095,17.057426,0.6993309,6392.375043,7.086156604,2.205625235,12.0895652
235,Inorganic,copper,,In_Others,Passive,Agg,Spherical,Negative,,,1000,-28.30769231,AH,Skin,B16,0.0125,Multiple,5,Female,mice,C57BL/6,iv,iv,100,340.4509952,792.7689594,15,340.4509952,792.7689594,0.570554584,57.0554584,Low,"Li, 2021",2021,34694311,16,CuS,0.0125,0.0625,NA,0,0,Single,No,"0,3,6,9,12",0.02188446,0.026715925,2.0258875,5.151166,33.118088,7.0558343,418.1857979,0.42136114,0.198806389,1.76075593
238,Organic,,Polymeric,Polymeric,Passive,PAMD-CHOL/siPLK1,Spherical,Positive,,,129,10.1,AO,Pancreas,KPC8060,2.5,Multiple,7,Male,mice,C57BL/6,ip,ip,200,129.6909492,645.6953642,18,0.155629139,0.774834437,0.799145299,79.9145299,High,"Tang, 2021",2021,34699242,NA,siPLK1,2.5,17.5,NA,0,0,Single,Yes,"0,2,5,7,10,12,15",0.11248366,0.005634703,0.053030014,0.23128979,0.32278797,4.8733835,60893.46607,25.43012157,30.48264489,43.97595093
239,Organic,,Polymeric,Polymeric,Passive,PAMD-CHOL/siPLK1,Spherical,Positive,,,129,10.1,AO,Pancreas,KPC8060,2.5,Multiple,7,Male,mice,C57BL/6,ip,ip,200,229.0286975,645.6953642,18,0.274834437,0.774834437,0.645299145,64.5299145,Low,"Tang, 2021",2021,34699242,NA,siPLK1,2.5,17.5,NA,0,0,Single,No,"0,2,5,7,10,12,15",0.11248366,0.005634703,0.053030014,0.23128979,0.32278797,4.8733835,60893.46607,25.43012157,30.48264489,43.97595093
240,Hybrid,,protein/membrane,Hybrid,Active,Asp8[H40-TPZ/IR780@(RBC-H)],Spherical,Negative,,,169.7368421,-23.76,XO,Others,WSU-HN6 ,TPZ: 1.5; IR780: 1.6,Multiple,4,Female,mice,BALB/c nude,iv,iv,100,102.2004651,852.2126628,16,102.2004651,852.2126628,0.880076336,88.0076336,High,"Chen, 2021",2021,34702291,20,TPZ,1.5,6,IR780,1.6,6.4,Combination,Yes,"0,4,8,12",0.070610136,0.04408646,0.8099954,0.30936503,12.660559,0.69939774,680.2739236,1.545877169,0.041392166,1.879533311
241,Hybrid,,protein/membrane,Hybrid,Passive,H40-TPZ/IR780@(RBC-H),Spherical,Negative,,,169.7368421,-23.76,XO,Others,WSU-HN6 ,TPZ: 1.5; IR780: 1.6,Multiple,4,Female,mice,BALB/c nude,iv,iv,100,184.1527477,852.2126628,16,184.1527477,852.2126628,0.783912214,78.3912214,High,"Chen, 2021",2021,34702291,20,TPZ,1.5,6,IR780,1.6,6.4,Combination,Yes,"0,4,8,12",0.06605338,0.033664577,0.45727193,1.186677,21.173038,0.6938579,844.9204156,1.69467943,0.059348069,2.225950112
243,Organic,,membrane,Others,Active,LIPC,Plate,Negative,0.217,,116.3,-19.2,AH,Colon,CT26,ICG: 1.2; PTX-BSA: 0.6,Multiple,2,Female,mice,BALB/c,iv,iv,75,124.5283019,1075.471698,14,124.5283019,1075.471698,0.884210526,88.4210526,High,"Wang, 2021",2021,34717639,NA,PTX-BSA,0.6,1.2,ICG,1.2,2.4,Combination,Yes,"0,7",0.210915,0.007567546,0.5564462,0.03744576,0.097704716,0.7149465,1562.021379,5.337746776,0.053951253,5.967201905
244,Hybrid,"Mg, Al",membrane,Hybrid,Active,LIPC,Plate,Negative,0.217,,116.3,-19.2,AH,Colon,CT26,ICG: 1.2; PTX-BSA: 0.6,Multiple,2,Female,mice,BALB/c,iv,iv,75,305.6603774,1075.471698,14,305.6603774,1075.471698,0.715789474,71.5789474,High,"Wang, 2021",2021,34717639,NA,PTX-BSA,0.6,1.2,ICG,1.2,2.4,Combination,No,"0,7",0.12007951,0.21709654,0.8483891,0.054249465,5.047216,0.6754074,745.2285379,2.514786686,0.025337874,3.19889801
245,Inorganic,"Mg, Al",,In_Others,Passive,LIP,Plate,Negative,0.265,,104.2,-16.1,AH,Colon,CT26,ICG: 1.2; PTX-BSA: 0.6,Multiple,2,Female,mice,BALB/c,iv,iv,75,600,1075.471698,14,600,1075.471698,0.442105263,44.2105263,Low,"Wang, 2021",2021,34717639,NA,PTX-BSA,0.6,1.2,ICG,1.2,2.4,Combination,Yes,"0,7",0.037554223,0.05900598,0.72250307,2.9773502,1.3823445,0.7885308,339.8199821,1.183443402,0.011530686,1.432184341
246,Hybrid,"Mg, Al",membrane,Hybrid,Active,LIC,Plate,Negative,0.217,,116.3,-19.2,AH,Colon,CT26,1.2,Multiple,2,Female,mice,BALB/c,iv,iv,75,328.3018868,1075.471698,14,328.3018868,1075.471698,0.694736842,69.4736842,High,"Wang, 2021",2021,34717639,NA,ICG,1.2,2.4,NA,0,0,Single,Yes,"0,7",0.12007951,0.21709654,0.8483892,0.054249525,5.047215,0.6754075,745.228526,2.514786808,0.025337857,3.198898029
247,Organic,,Polymeric,Polymeric,Passive,IR820-SS-CPT,Spherical,Negative,0.248,,72.5,-22.5,AH,Breast,4T1,5,Multiple,5,Female,mice,BALB/c nude,iv,iv,100,249.6088357,993.5342844,14,249.6088357,993.5342844,0.748766762,74.8766762,High,"Ao, 2021",2021,34717646,20,CPT,2.06,10.3,IR820,5,25,Combination,Yes,"0,3,6,9,12",1.1646333,0.031380523,0.28512672,1.6025945,0.39686182,1.0599589,32456.60276,44.90481494,21.88288332,45.04983978
248,Organic,,Polymeric,Polymeric,Passive,IR820-SS-CPT,Spherical,Negative,0.248,,72.5,-22.5,AH,Breast,4T1,5,Multiple,5,Female,mice,BALB/c nude,iv,iv,100,432.5586746,993.5342844,14,432.5586746,993.5342844,0.564626323,56.4626323,Low,"Ao, 2021",2021,34717646,20,CPT,2.06,10.3,IR820,5,25,Combination,No,"0,3,6,9,12",1.1646333,0.031380523,0.28512672,1.6025945,0.39686182,1.0599589,32456.60276,44.90481494,21.88288332,45.04983978
249,Organic,,Polymeric,Polymeric,Passive,DSSTG(2),Spherical,Negative,0.08,,123,-14.2,AH,Prostate,RM-1,8,Multiple,5,Female,mice,C57BL/6,iv,iv,100,172.1000605,1721.311475,9,172.1000605,1721.311475,0.90001806,90.001806,High,"Tian, 2021",2021,34723524,20,DTX,8,40,NA,0,0,Single,No,"0,2,4,6,8",0.6959804,0.00735742,0.34253642,1.1014571,8.660604,0.75747335,12263.23138,18.81504526,10.51032512,25.07810804
250,Organic,,Polymeric,Polymeric,Passive,DSSTG(1),Spherical,Negative,0.12,,116,-14.8,AH,Prostate,RM-1,8,Multiple,5,Female,mice,C57BL/6,iv,iv,100,244.200121,1721.311475,9,244.200121,1721.311475,0.858131358,85.8131358,High,"Tian, 2021",2021,34723524,20,DTX,8,40,NA,0,0,Single,No,"0,2,4,6,8",0.69343287,0.007390813,0.34359774,1.0980163,8.648744,0.75687706,12222.4714,18.8088545,10.43474304,25.1683937
251,Organic,,Polymeric,Polymeric,Passive,DSSTG(0),Spherical,Negative,0.17,,124,-19.5,AH,Prostate,RM-1,8,Multiple,5,Female,mice,C57BL/6,iv,iv,100,264.4139601,1721.311475,9,264.4139601,1721.311475,0.84638808,84.638808,High,"Tian, 2021",2021,34723524,20,DTX,8,40,NA,0,0,Single,No,"0,2,4,6,8",0.6872444,0.007745381,0.34415972,1.1380918,8.740591,0.753918,12126.03298,18.86647142,10.2852167,25.15768532
254,Organic,,Polymeric,Polymeric,Passive,PTX/Pt/BTNP,Spherical,Negative,0.08,,95.7,-27,AH,Breast,4T1,5,Multiple,5,Female,mice,BALB/c,iv,iv,100,277.1573604,987.8172589,14,277.1573604,987.8172589,0.71942446,71.942446,High,"Long, 2021",2021,34736466,15,PTX,5,25,NA,0,0,Single,Yes,"0,3,6,9,12,",1.1590979,0.03225518,0.28077593,1.7028673,0.40109143,1.0480874,24406.96829,44.95399261,21.83650095,45.11965074
255,Organic,,Polymeric,Polymeric,Passive,PTX/Pt/BTNP,Spherical,Negative,0.08,,95.7,-27,AH,Breast,4T1,5,Multiple,5,Female,mice,BALB/c,iv,iv,100,902.5380711,987.8172589,14,902.5380711,987.8172589,0.086330935,8.6330935,Low,"Long, 2021",2021,34736466,15,PTX,5,25,NA,0,0,Single,No,"0,3,6,9,12,",1.1590979,0.03225518,0.28077593,1.7028673,0.40109143,1.0480874,24406.96829,44.95399261,21.83650095,45.11965074
256,Organic,,Polymeric,Polymeric,Passive,Paclitaxel/IR820@HMONs-PEG,Spherical,Negative,,,127.8,-29.4,AH,Breast,4T1,PTX: 5; IR820: 10,Multiple,4,Female,mice,BALB/c,iv,iv,100,331.5508021,1347.593583,18,331.5508021,1347.593583,0.753968254,75.3968254,High,"Qian, 2021",2021,34739255,20,PTX,5,20,IR820,10,40,Combination,Yes,"0,3,6,9",1.1581529,0.032551777,0.281247,1.8034687,0.40398803,1.0438524,30667.35426,44.87333293,21.70668754,45.06109106
257,Organic,,Polymeric,Polymeric,Passive,Paclitaxel/IR820@HMONs-PEG,Spherical,Negative,,,127.8,-29.4,AH,Breast,4T1,PTX: 5; IR820: 10,Multiple,4,Female,mice,BALB/c,iv,iv,100,748.6631016,1347.593583,18,748.6631016,1347.593583,0.444444444,44.4444444,Low,"Qian, 2021",2021,34739255,20,PTX,5,20,IR820,10,40,Combination,No,"0,3,6,9",1.1581529,0.032551777,0.281247,1.8034687,0.40398803,1.0438524,30667.35426,44.87333293,21.70668754,45.06109106
258,Organic,,Polymeric,Polymeric,Passive,IR820@HMONs0PEG,Spherical,Negative,,,127.8,-29.4,AH,Breast,4T1,10,Multiple,4,Female,mice,BALB/c,iv,iv,100,1058.823529,1347.593583,18,1058.823529,1347.593583,0.214285714,21.4285714,Low,"Qian, 2021",2021,34739255,20,IR820,10,40,NA,0,0,Single,Yes,"0,3,6,9",1.1581529,0.032551777,0.281247,1.8034687,0.40398803,1.0438524,30667.35426,44.87333293,21.70668754,45.06109106
259,Organic,,Polymeric,Polymeric,Passive,Paclitaxel@HMONs-PEG,Spherical,Negative,,,127.8,-29.4,AH,Breast,4T1,5,Multiple,4,Female,mice,BALB/c,iv,iv,100,802.1390374,1347.593583,18,802.1390374,1347.593583,0.404761905,40.4761905,Low,"Qian, 2021",2021,34739255,20,PTX,5,20,NA,0,0,Single,No,"0,3,6,9",1.1581529,0.032551777,0.281247,1.8034687,0.40398803,1.0438524,30667.35426,44.87333293,21.70668754,45.06109106
260,Organic,,Polymeric,Polymeric,Passive,PTV-NP,Spherical,Negative,0.224,,89.2,-31,XO,Breast,MCF-7,15,Multiple,3,Female,mice,BALB/c nude,iv,iv,80,99.378882,839.7515528,14,1.242236025,10.49689441,0.881656805,88.1656805,High,"Liang, 2021",2021,34747277,NA,POD,15,45,VK3,1.17,3.51,Combination,No,"0,2,4",0.13138111,0.030656708,0.5671245,1.1715677,0.045857113,1.3675565,2504.256273,6.483571812,0.262048279,8.911702643
261,Organic,,Polymeric,Polymeric,Passive,PT-NP,Spherical,Negative,0.202,,76.5,-33.6,XO,Breast,MCF-7,15,Multiple,3,Female,mice,BALB/c nude,iv,iv,80,367.7018634,839.7515528,14,4.596273292,10.49689441,0.562130178,56.2130178,Low,"Liang, 2021",2021,34747277,NA,POD,15,45,NA,0,0,Single,No,"0,2,4",0.12979393,0.031486697,0.56505513,1.1743035,0.047047243,1.3456572,2453.528611,6.356323215,0.256058642,8.750414783
262,Organic,,Polymeric,Polymeric,Passive,PCV-NP,Spherical,Negative,0.184,,101.7,-33.8,XO,Breast,MCF-7,15,Multiple,3,Female,mice,BALB/c nude,iv,iv,80,491.9254658,839.7515528,14,6.149068323,10.49689441,0.414201183,41.4201183,Low,"Liang, 2021",2021,34747277,NA,POD,15,45,VK3,1.312056738,3.936170214,Combination,No,"0,2,4",0.13044766,0.031185312,0.56689477,1.2116007,0.04774991,1.3493353,2476.921583,6.385101352,0.257382819,8.896587336
263,Organic,,Liposome,Liposome,Passive,PSO-PLN,Spherical,Negative,0.22,,65.39,-28.18,XO,Breast,MDA-MB-231,3,Multiple,8,Female,mice,BALB/c nude,iv,iv,70,1476.190476,1809.52381,30,1476.190476,1809.52381,0.184210526,18.4210526,Low,"Liu, 2021",2021,34749510,18.5,PSO,3,24,NA,0,0,Single,No,"0,3,7,10,14,17,21,24",0.099605605,0.047231637,0.6625072,1.3783014,0.24228726,1.5427468,3492.271839,4.842386432,0.120291109,5.821031532
264,Organic,,Liposome,Liposome,Passive,PSO-PLN,Spherical,Negative,0.22,,65.39,-28.18,XO,Breast,MDA-MB-231,3,Multiple,8,Female,mice,BALB/c nude,iv,iv,70,380.952381,1809.52381,30,380.952381,1809.52381,0.789473684,78.9473684,High,"Liu, 2021",2021,34749510,18.5,PSO,3,24,NA,0,0,Single,Yes,"0,3,7,10,14,17,21,24",0.099605605,0.047231637,0.6625072,1.3783014,0.24228726,1.5427468,3492.271839,4.842386432,0.120291109,5.821031532
265,Organic,,Polymeric,Polymeric,Active,DOX/DL-PP-PM,Spherical,Neutral,0.27,,10.95,-1.46,XH,Others,KB,4,Multiple,4,Female,mice,BALB/c nude,iv,iv,50,50.70422535,585.915493,10,50.70422535,585.915493,0.913461538,91.3461538,High,"Zhou, 2021",2021,34761919,20,DOX,4,16,NA,0,0,Single,No,"0,3,6,9",0.055552993,0.020431943,0.5180148,4.888405,6.3382816,0.7296541,745.0907821,2.007027564,0.300040081,2.137002633
266,Organic,,Polymeric,Polymeric,Active,DOX/FA-PP-PM,Spherical,Neutral,0.24,,37.7,-1.36,XH,Others,KB,4,Multiple,4,Female,mice,BALB/c nude,iv,iv,50,101.4084507,585.915493,10,101.4084507,585.915493,0.826923077,82.6923077,High,"Zhou, 2021",2021,34761919,20,DOX,4,16,NA,0,0,Single,No,"0,3,6,9",0.05593764,0.020380052,0.5202651,4.974294,6.4016266,0.72960645,749.5011892,2.011346049,0.301316225,2.14061024
267,Organic,,Polymeric,Polymeric,Active,DOX/ZGP-PP-PM,Spherical,Neutral,0.28,,39.28,-1.28,XH,Others,KB,4,Multiple,4,Female,mice,BALB/c nude,iv,iv,50,140.8450704,585.915493,10,140.8450704,585.915493,0.759615385,75.9615385,High,"Zhou, 2021",2021,34761919,20,DOX,4,16,NA,0,0,Single,No,"0,3,6,9",0.055980626,0.020376945,0.5204193,4.9786925,6.405816,0.72959846,750.4229213,2.012498389,0.301475809,2.14228105
268,Organic,,Polymeric,Polymeric,Passive,DOX-PP-PM,Spherical,Neutral,0.25,,36.29,-0.18,XH,Others,KB,4,Multiple,4,Female,mice,BALB/c nude,iv,iv,50,180.2816901,585.915493,10,180.2816901,585.915493,0.692307692,69.2307692,High,"Zhou, 2021",2021,34761919,20,DOX,4,16,NA,0,0,Single,No,"0,3,6,9",0.050904572,0.020772023,0.39433873,3.4441168,4.7334876,0.7672018,836.8437065,2.244209851,0.359395439,2.373560498
